63.345	176.178
63.52	171.972
63.57	175.374
63.62	179.487
63.67	176.631
63.72	174.318
68.345	179.289
68.395	176.385
68.445	174.987
68.495	178.731
68.545	184.662
68.595	183.825
68.645	180.594
68.695	176.451
73.345	181.998
73.395	179.025
73.445	178.197
73.495	180.951
73.545	182.544
73.595	182.559
73.645	180.603
73.695	180.402
78.345	186.933
78.395	181.698
78.445	177.369
78.495	181.779
78.545	185.007
78.595	184.578
78.645	181.104
78.695	184.167
83.345	177.966
83.395	174.588
83.445	178.782
83.495	180.453
83.545	177.378
83.595	178.029
83.645	182.424
83.695	182.637
88.345	179.286
88.395	176.124
88.445	167.592
88.495	171.396
88.545	175.242
88.595	174.522
88.645	176.586
88.695	182.172
93.345	179.103
93.395	181.8
93.445	184.968
93.495	185.208
93.545	184.293
93.595	185.616
93.645	187.503
93.695	184.722
98.345	186.732
98.395	186.402
98.445	190.095
98.495	195.519
98.545	197.853
98.595	198.162
98.645	196.473
98.695	196.14
102.345	174.204
102.745	173.61
103.145	171.288
103.545	169.323
103.945	169.281
104.345	168.942
104.745	165.651
105.145	169.518
105.545	171.699
105.945	171.549
106.345	173.943
106.745	175.548
107.145	174.642
107.545	173.88
107.945	174.675
108.345	173.751
108.745	172.083
109.145	173.925
109.545	173.367
109.945	172.428
110.345	173.073
110.745	174.972
111.145	173.697
111.545	172.02
111.945	173.667
112.345	173.547
112.745	173.694
113.145	173.391
113.545	173.793
113.945	172.308
114.345	172.875
114.745	172.983
115.145	170.748
115.545	171.786
115.945	173.214
116.345	171.054
116.745	170.601
117.145	172.509
117.545	171.324
117.945	170.322
118.345	172.404
118.745	172.563
119.145	170.055
119.545	171.063
119.945	173.019
120.345	170.766
120.745	168.771
121.145	170.832
121.545	171.333
121.945	168.87
122.345	169.158
122.745	170.256
123.145	169.911
123.545	168.936
123.945	169.497
124.345	168.903
124.745	169.626
125.145	167.766
125.545	168.738
125.945	169.5
126.345	169.794
126.745	168.762
128.345	169.215
128.745	169.146
129.145	168.276
130.745	169.224
131.145	168.525
131.545	168.186
131.945	167.55
132.345	166.821
132.745	167.331
133.145	167.763
133.545	168.279
133.945	167.469
134.345	167.7
135.545	167.652
135.945	166.365
136.345	167.259
136.745	167.301
